,pondID,depth,nChironomidae,nOligochaeta,nCeratopogonidae,nCoenagrionidae,nBaetidae,nCaenidae,nHirudinea,nMiscDiptera,nHydrachnida,nHydropsychidae,nHaliplidae,nPhysidae,nCulicidae,nHydrobiidae,nParonellinae,nVeliidae,nPolycentropodidae,nCorduliidae,nHeptageniidae,nAsellidae,SampleSize
T106A1,T106A1,50,130,13,2,0,0,49,1,1,2,0,0,1,0,0,0,0,0,0,1,2,202
T106A2,T106A2,100,110,26,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,144
T106A3,T106A3,150,18,30,4,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,57
T106B1,T106B1,50,269,44,11,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,331
T106B2,T106B2,100,93,38,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,134
T106B3,T106B3,150,46,79,5,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,138
T108A1,T108A1,50,78,80,9,0,0,5,1,1,3,0,0,1,1,0,0,0,0,0,0,0,179
T108A2,T108A2,100,90,7,6,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,110
T108A3,T108A3,150,57,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
T108B1,T108B1,50,46,6,18,2,1,2,0,0,2,0,2,1,0,0,0,0,0,0,0,0,80
T108B2,T108B2,100,58,12,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,78
T108B3,T108B3,150,10,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
T109A1,T109A1,50,594,26,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,627
T109A2,T109A2,100,105,23,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,132
T109A3,T109A3,150,102,84,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,191
T109B1,T109B1,50,263,6,1,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,281
T109B2,T109B2,100,91,102,3,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,205
T109B3,T109B3,150,84,94,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,180
